ID,State,Address,Gender,Age,총구매금액,총구매수량,1회방문시구매금액(평균),배송서비스신청여부,모바일알람여부,VIP회원
272369856,정상회원,수지구,여,45,5733884,546.5,47782,미신청,수신,VIP
1506656256,정상회원,수지구,여,36,673414,90,35443,미신청,.,normal
1476143616,정상회원,수지구,여,34,655919,66,46851,미신청,.,normal
716128320,정상회원,수지구,여,51,2984534,252.1,48138,미신청,.,normal
743192512,정상회원,수지구,여,51,1901488,152,158457,신청,.,normal
176912064,정상회원,수지구,여,69,8028076,716,62719,미신청,.,VIP
1548084032,정상회원,수지구,여,53,217095,23,31014,미신청,.,normal
1049686784,정상회원,수지구,여,40,4249611,455,60709,미신청,수신,normal
164510272,정상회원,수지구,여,42,2010206,255,20940,미신청,수신,normal
1460209856,정상회원,수지구,여,39,328609,53,32861,미신청,.,normal
1343359808,정상회원,수지구,여,49,13894023,1574,100681,미신청,수신,VIP
757812224,정상회원,수지구,여,55,12637762,1528.2,70999,미신청,수신,VIP
395094144,정상회원,분당구,여,59,1982797,277,44062,신청,.,normal
1314239168,정상회원,수지구,남,48,225327,22.1,75109,미신청,.,normal
839856704,정상회원,수지구,여,76,5814310,345,88096,미신청,.,normal
692625792,정상회원,분당구,여,66,822624,151,13058,미신청,.,normal
233969216,정상회원,수지구,여,49,2774511,367,34253,미신청,수신,normal
430465792,정상회원,수지구,여,60,1316409,254.1,19946,미신청,.,normal
1518727680,탈퇴,수지구,여,38,450661,68,64380,미신청,.,normal
54078272,정상회원,수지구,여,51,1296059,179,39275,미신청,.,normal
383356800,정상회원,수지구,여,47,8882881,1112.2,60842,미신청,수신,VIP
939239936,정상회원,기타,여,39,2603814,365.5,38291,미신청,수신,normal
1233957888,정상회원,수지구,여,51,1365177,147,36897,미신청,.,normal
445131904,정상회원,수지구,여,58,1303391,167,50130,미신청,.,normal
1327181056,정상회원,수지구,여,57,3886698,411.1,68188,미신청,.,normal
1450933568,정상회원,수지구,여,38,4624837,594,70073,미신청,수신,normal
744736704,정상회원,수지구,여,49,8326962,673.5,57427,미신청,수신,VIP
1280233536,정상회원,수지구,남,71,4354674,381,45361,미신청,.,normal
1167381312,정상회원,수지구,여,35,2103654,263.2,58435,신청,.,normal
762442944,정상회원,수지구,여,47,6387761,562,98273,미신청,수신,normal
941663872,정상회원,수지구,여,43,949320,127.1,30623,미신청,.,normal
654219584,정상회원,수지구,여,54,1204381,152.6,41530,미신청,.,normal
1290675392,정상회원,수지구,여,62,6064974,652.2,61887,미신청,.,normal
1373159744,정상회원,기타,여,35,1500482,151.1,75024,미신청,.,normal
1208100096,정상회원,수지구,여,38,2921938,385.5,33585,미신청,수신,normal
1370888000,정상회원,수지구,여,41,797851,107.2,19460,미신청,.,normal
592164224,정상회원,수지구,남,60,1285939,153,47627,미신청,.,normal
269246208,정상회원,수지구,여,47,16978168,1376.7,78603,미신청,수신,VIP
285512192,정상회원,수지구,여,59,4837302,546.2,39011,미신청,.,VIP
178343040,정상회원,수지구,여,53,308891,25,38611,미신청,.,normal
673577664,정상회원,수지구,여,36,164161,19,32832,미신청,.,normal
362835008,정상회원,수지구,여,50,1845700,189,31822,미신청,.,normal
1132982208,정상회원,수지구,여,42,939039,168.4,16190,미신청,.,normal
1143921472,정상회원,수지구,여,62,1111566,232,25263,미신청,.,normal
630225216,정상회원,수지구,여,42,3182205,368.2,58930,미신청,.,normal
384370176,정상회원,서울 송파구,여,67,4888865,416.55,63492,미신청,.,normal
578077184,정상회원,수지구,여,64,1235372,164,30131,미신청,.,normal
668327040,정상회원,수지구,여,52,850161,84,44745,미신청,.,normal
467765824,정상회원,수지구,여,50,6924217,1047.5,61276,미신청,수신,VIP
584066496,정상회원,수지구,여,45,4088025,358.2,57578,미신청,수신,normal
406632896,정상회원,수지구,여,51,16038889,1354.3,80597,미신청,수신,VIP
162325760,정상회원,수지구,여,49,3675867,244,94253,신청,.,normal
898628800,정상회원,수지구,여,49,12489031,1233.1,110522,미신청,수신,VIP
768526912,정상회원,수지구,여,45,3637990,476.6,25620,미신청,수신,VIP
266619968,정상회원,수지구,여,48,346126,48,49447,미신청,.,normal
481307200,정상회원,수지구,여,50,4355484,478,65992,미신청,수신,normal
393277120,정상회원,수지구,여,48,1732093,216.6,46813,신청,.,normal
611329280,정상회원,수지구,남,77,2056529,216.3,38084,미신청,.,normal
596726272,정상회원,수지구,여,50,2488476,246,44437,미신청,.,normal
1038073792,정상회원,수지구,여,46,1170297,156,45011,미신청,.,normal
1342364992,정상회원,수지구,여,48,7898956,937.2,67512,미신청,수신,VIP
971673536,정상회원,수지구,여,42,4128396,605.2,67679,미신청,.,normal
1456674176,정상회원,수지구,여,37,168564,17,84282,미신청,.,normal
809963968,정상회원,수지구,여,47,1686120,194,58142,신청,.,normal
1301325120,정상회원,수지구,여,46,1119741,165,31993,미신청,.,normal
651472704,정상회원,기타,여,60,140997,14,28199,미신청,.,normal
1440625344,정상회원,수지구,여,39,3596576,423.9,53680,미신청,수신,normal
315265728,탈퇴,수지구,여,41,3786779,444,36065,미신청,수신,normal
969303424,정상회원,수지구,여,41,2617257,330.6,72702,신청,.,normal
349172992,정상회원,수지구,여,60,1062936,128,66434,미신청,.,normal
403769088,정상회원,수지구,여,43,2348948,361,41210,미신청,.,normal
352018240,정상회원,수지구,여,44,4842607,459.5,72278,미신청,수신,normal
224934208,정상회원,수지구,여,64,890394,83,52376,미신청,.,normal
1168194240,정상회원,수지구,여,55,2146960,208,51118,신청,.,normal
1381762304,정상회원,수지구,여,47,1379209,121,44491,미신청,.,normal
853758144,정상회원,수지구,여,56,569004,82,25864,미신청,.,normal
281649856,정상회원,수지구,여,41,14616003,1373.6,117871,미신청,수신,VIP
1197962624,정상회원,수지구,여,47,2821732,304.5,54264,미신청,.,normal
719548928,정상회원,수지구,여,48,3275839,339,71214,미신청,.,normal
282238208,정상회원,수지구,여,73,4205036,434,39299,미신청,.,VIP
850970432,정상회원,기흥구,남,45,2778761,371.5,84205,신청,.,normal
97135616,정상회원,수원 영통구,여,58,3303278,387.6,35519,미신청,수신,normal
388110016,정상회원,수지구,여,47,3777836,340,118057,신청,.,normal
349700096,정상회원,수지구,여,59,2588001,365,44621,미신청,.,normal
407043072,정상회원,수지구,여,58,10474795,880.1,151809,미신청,수신,normal
848947392,정상회원,수지구,여,33,1523594,166,39067,미신청,.,normal
153717632,정상회원,기흥구,여,51,1459982,144,69523,미신청,.,normal
852575872,정상회원,수지구,여,48,793039,114,14686,미신청,.,normal
580412032,정상회원,수지구,여,57,1776845,170.7,49357,신청,.,normal
473608512,정상회원,수지구,여,45,3168988,204.6,68891,미신청,.,normal
